legajo,nombre,apellido,email,genero,nota_1p,nota_2p,nota_final,nivel,instructor
639,Sheffie,Loveland,slovelandhq@nydailynews.com,2,5.61,08.06,9.92,2,3
640,Steffen,Bewshire,sbewshirehr@amazon.co.jp,2,6.58,01.04,06.03,5,9
641,Erin,Polland,epollandhs@japanpost.jp,1,1.15,9.29,3.95,2,14
642,Burch,McGriffin,bmcgriffinht@liveinternet.ru,2,2.28,8.31,6.88,1,17
643,Egon,Inkster,einksterhu@google.nl,2,3.20,2.44,,4,5
644,Malva,Halleybone,mhalleybonehv@sakura.ne.jp,1,08.05,5.41,9.72,4,5
645,Dayle,Lyburn,dlyburnhw@netvibes.com,1,4.18,4.49,7.93,3,20
646,Chilton,Rollo,crollohx@nbcnews.com,2,6.14,2.33,5.97,3,11
647,Dore,De Dantesie,ddedantesiehy@cbc.ca,1,9.35,7.75,05.04,2,20
648,Marys,Sherwyn,msherwynhz@histats.com,1,8.11,4.38,2.98,2,20
649,Cirstoforo,Fairfull,cfairfulli0@fda.gov,2,1.56,9.84,5.16,2,16
650,Kevin,Albutt,kalbutti1@surveymonkey.com,2,3.36,5.18,,3,11
651,Concettina,Sorensen,csorenseni2@squidoo.com,1,4.85,9.58,,4,19
652,Huntlee,Crighton,hcrightoni3@usa.gov,2,6.73,5.90,3.30,5,8
653,Lawry,Dimmne,ldimmnei4@google.com.au,7,6.46,4.40,3.58,2,11
654,Mackenzie,Parzizek,mparzizeki5@nymag.com,2,1.27,8.31,1.51,1,16
655,Willamina,Dionsetto,wdionsettoi6@ask.com,1,5.92,6.37,9.11,1,8
656,Lodovico,Zealey,lzealeyi7@pbs.org,2,7.56,6.53,,4,12
657,Forest,Di Francesco,fdifrancescoi8@army.mil,2,9.84,04.02,5.60,1,7
658,Deane,Earry,dearryi9@elpais.com,2,7.64,1.96,3.49,4,15
659,Ingamar,Coneley,iconeleyia@npr.org,2,6.65,3.57,5.15,2,4
660,Obadias,Works,oworksib@dedecms.com,2,02.06,8.00,9.61,2,11
661,Kara-lynn,Packham,kpackhamic@forbes.com,1,5.67,4.26,9.92,5,19
662,Isadore,Josse,ijosseid@comsenz.com,5,01.05,8.42,9.42,4,6
663,Kaleb,Gratten,kgrattenie@latimes.com,2,1.88,7.11,3.40,1,5
664,Amby,Oriel,aorielif@slate.com,2,1.76,08.02,6.92,5,12
665,Merrick,Alliott,malliottig@google.com.br,2,6.72,3.78,6.16,2,7
666,Alaster,Domoney,adomoneyih@smh.com.au,2,8.72,7.59,9.77,4,12
667,Theresina,Willingam,twillingamii@mediafire.com,1,6.16,9.11,4.67,1,2
668,Evelina,Tarbath,etarbathij@mapy.cz,1,6.50,3.37,,2,14
669,Rosina,Arkill,rarkillik@bbb.org,1,1.95,6.27,4.37,4,9
670,Annadiana,Cosens,acosensil@indiegogo.com,1,05.03,6.40,2.90,4,7
671,Gui,Fairrie,gfairrieim@webmd.com,1,8.64,6.78,8.14,5,17
672,Annadiana,Warren,awarrenin@hhs.gov,1,02.02,9.17,8.65,5,13
673,Burt,Remon,bremonio@flickr.com,2,9.48,7.45,8.32,3,9
674,Gar,McAloren,gmcalorenip@accuweather.com,2,4.44,8.81,06.03,3,12
675,Isobel,Guillem,iguillemiq@baidu.com,1,8.26,1.40,,3,1
676,Milka,Hardy-Piggin,mhardypigginir@list-manage.com,1,6.57,01.09,4.95,3,18
677,Gonzales,Autry,gautryis@imageshack.us,2,8.42,1.53,8.28,1,17
678,Jacqueline,Ream,jreamit@lulu.com,1,6.52,1.98,1.60,5,14
679,Opaline,De Vile,odevileiu@storify.com,1,7.97,2.49,,1,16
680,Mauricio,Soigoux,msoigouxiv@networkadvertising.org,2,7.62,3.95,8.70,4,9
681,Ignatius,Chessill,ichessilliw@senate.gov,2,04.05,5.28,6.17,3,4
682,Gayle,Matous,gmatousix@vimeo.com,2,07.08,8.33,,3,4
683,Ree,Paskin,rpaskiniy@hibu.com,7,3.60,9.54,2.50,5,15
684,Brittni,Abramowitch,babramowitchiz@timesonline.co.uk,7,6.85,5.53,,4,19
685,Olivia,Bees,obeesj0@posterous.com,1,6.40,1.77,3.17,2,5
686,Dehlia,Mack,dmackj1@cloudflare.com,1,4.30,2.36,,3,5
687,Rozella,Urling,rurlingj2@xrea.com,1,8.20,2.00,04.02,2,2
688,Dilly,Gabbitas,dgabbitasj3@spotify.com,2,4.73,4.65,4.31,3,1
689,Giacobo,Prydden,gpryddenj4@tripadvisor.com,2,2.26,5.93,8.19,2,3
690,Carr,Kacheler,ckachelerj5@vkontakte.ru,2,6.92,9.40,03.06,2,8
691,Jordain,Joly,jjolyj6@creativecommons.org,1,4.41,4.52,,4,1
692,Gardener,Rillstone,grillstonej7@marketwatch.com,2,2.54,1.54,6.75,2,7
693,Dorothee,Emilien,demilienj8@pbs.org,1,3.52,01.01,8.90,5,15
694,Jarrid,Daughton,jdaughtonj9@netvibes.com,2,7.74,7.56,1.60,2,11
695,Derwin,Lemm,dlemmja@sogou.com,2,4.51,8.46,03.07,5,4
696,Janeta,Cella,jcellajb@nba.com,1,6.86,09.06,1.15,2,13
697,Selig,Quarrie,squarriejc@i2i.jp,7,2.32,6.17,2.00,1,9
698,Inesita,McNirlan,imcnirlanjd@oaic.gov.au,1,08.09,4.10,9.24,2,20
699,Martha,Haddacks,mhaddacksje@dmoz.org,1,6.55,9.68,3.37,5,12
700,Clement,Oluwatoyin,coluwatoyinjf@youku.com,2,6.91,8.25,7.58,5,9
701,Alexei,Paulsen,apaulsenjg@alibaba.com,2,9.12,08.01,8.48,3,20
702,Hedvige,Maven,hmavenjh@netlog.com,1,4.90,2.85,2.60,4,7
703,Rhoda,Gerrels,rgerrelsji@nature.com,1,7.78,3.44,,5,1
704,Mable,Tenny,mtennyjj@drupal.org,1,5.85,2.26,1.81,2,10
705,Johny,Deares,jdearesjk@theglobeandmail.com,2,4.59,1.65,,4,14
706,Perry,Axton,paxtonjl@ameblo.jp,2,2.64,7.55,3.60,5,2
707,Lizzy,Grunder,lgrunderjm@i2i.jp,1,7.14,6.23,2.16,4,18
708,Austin,MacBain,amacbainjn@virginia.edu,2,5.20,2.63,7.46,4,20
709,Celestina,Almey,calmeyjo@flavors.me,1,7.84,7.11,,2,18
710,Moira,Southerns,msouthernsjp@upenn.edu,1,9.94,8.11,4.25,4,14
711,Kirbee,Aitcheson,kaitchesonjq@usgs.gov,1,01.09,8.28,07.05,5,4
712,Magnum,Guiu,mguiujr@constantcontact.com,2,7.80,9.54,6.65,2,16
713,Kyle,Lower,klowerjs@icio.us,4,5.98,4.55,5.86,1,9
714,Jamaal,McGrann,jmcgrannjt@adobe.com,2,4.73,5.67,1.14,4,5
715,Claude,Holywell,cholywellju@comcast.net,1,4.96,7.69,3.71,5,1
716,Gunner,Greene,ggreenejv@intel.com,2,01.06,01.08,,2,3
717,Hinda,Lanfere,hlanferejw@weather.com,1,9.47,7.27,,2,14
718,Willy,Iggulden,wigguldenjx@cargocollective.com,1,1.50,7.57,3.30,5,16
719,Gaylord,Kiddy,gkiddyjy@webnode.com,2,9.85,7.77,6.30,1,15
720,Birdie,McKiernan,bmckiernanjz@com.com,1,6.23,6.95,,4,15
721,Elihu,Joret,ejoretk0@forbes.com,2,4.39,2.60,1.15,3,6
722,Kelcie,Vallerine,kvallerinek1@umn.edu,1,3.56,01.09,7.42,1,4
723,Kylen,Mabbott,kmabbottk2@usda.gov,1,3.77,2.84,3.38,4,18
724,Drusie,Gutherson,dguthersonk3@linkedin.com,1,07.04,8.23,,2,20
725,Stormi,Audenis,saudenisk4@opensource.org,1,07.06,3.53,02.07,1,16
726,Nichole,Quemby,nquembyk5@digg.com,1,2.57,4.84,8.41,2,5
727,Cathy,Du Hamel,cduhamelk6@t-online.de,1,9.94,4.76,,1,8
728,Liana,Beaman,lbeamank7@google.co.jp,1,6.00,8.58,6.42,4,6
729,Brandise,Fann,bfannk8@washingtonpost.com,1,09.05,3.29,2.31,4,5
730,Petronia,Sloss,pslossk9@yellowpages.com,1,7.33,5.80,06.08,1,1
731,Bobbe,Follacaro,bfollacaroka@ezinearticles.com,1,5.37,2.85,8.47,5,14
732,Sonny,Fawlks,sfawlkskb@webs.com,2,8.78,9.80,01.04,2,17
733,Therese,Stacy,tstacykc@elpais.com,1,5.34,8.31,8.72,1,18
734,Ardelia,Cesconi,acesconikd@seattletimes.com,5,6.27,1.21,2.47,2,15
735,Gorden,Dimond,gdimondke@mapquest.com,6,5.74,6.95,09.04,2,16
736,Inger,Snugg,isnuggkf@blinklist.com,3,06.09,7.84,,2,9
737,Minta,McRinn,mmcrinnkg@parallels.com,1,1.98,6.88,3.20,5,8
738,Quintana,Jirieck,qjirieckkh@rambler.ru,1,2.32,2.62,6.67,4,4
739,Brunhilde,Peyntue,bpeyntueki@amazon.co.jp,6,6.33,5.18,1.41,1,11
740,Ambrosius,Cristoferi,acristoferikj@mapy.cz,2,7.93,7.41,,4,11
741,Petunia,Yakunin,pyakuninkk@oaic.gov.au,1,1.12,1.29,2.98,4,18
742,Basilio,Agutter,bagutterkl@dmoz.org,2,6.78,5.41,1.10,5,14
743,Dicky,Hasslocher,dhasslocherkm@sciencedaily.com,2,6.36,2.35,1.44,2,3
744,Reggi,Strickland,rstricklandkn@blinklist.com,1,2.96,8.61,9.00,4,9
745,Jennica,Haydock,jhaydockko@joomla.org,1,4.86,4.64,6.60,2,11
746,Rhonda,Bowring,rbowringkp@spotify.com,1,8.59,03.07,9.12,4,17
747,Karel,Crutcher,kcrutcherkq@admin.ch,1,1.68,08.04,6.64,2,16
748,Sergent,Reynish,sreynishkr@cargocollective.com,2,1.97,7.82,5.55,2,5
749,Fanya,Killigrew,fkilligrewks@blinklist.com,1,4.49,1.67,05.02,1,1
750,Angelle,Gillon,agillonkt@kickstarter.com,1,5.40,5.11,5.84,4,16
751,Bevon,Mc Gee,bmcgeeku@bloglines.com,2,03.06,2.53,3.11,5,7
752,Chicky,Bannister,cbannisterkv@infoseek.co.jp,1,8.23,05.06,2.41,3,1
753,Leonie,Dallender,ldallenderkw@slashdot.org,1,6.58,6.95,,2,5
754,Lonnie,Kelloway,lkellowaykx@bandcamp.com,2,2.20,4.29,,5,10
755,Michelle,De Andreis,mdeandreisky@netscape.com,1,9.38,6.24,6.57,3,15
756,Willie,Healing,whealingkz@gnu.org,1,5.59,1.83,5.37,1,9
757,Aaren,Fery,aferyl0@dyndns.org,1,3.85,9.17,3.39,4,9
758,Jaquelyn,Amori,jamoril1@bloglovin.com,1,7.33,6.25,9.81,1,9
759,Yvon,Moorton,ymoortonl2@blog.com,2,8.86,9.45,7.15,4,18
760,Chrotoem,Gyrgorcewicx,cgyrgorcewicxl3@amazon.com,2,8.95,2.50,9.88,2,1
761,Elbertine,Burgwin,eburgwinl4@eepurl.com,1,3.50,3.12,,5,1
762,Guilbert,Ship,gshipl5@mysql.com,2,4.41,9.57,,3,14
763,Tamara,Myles,tmylesl6@prlog.org,1,3.61,6.93,,3,9
764,Elbertina,Physic,ephysicl7@reference.com,1,7.81,6.93,9.82,2,6
765,Sashenka,Gerrey,sgerreyl8@sciencedirect.com,1,7.82,04.01,,1,13
766,Kassie,Commusso,kcommussol9@eventbrite.com,1,05.01,3.47,6.81,1,2
767,Corabelle,Craigg,ccraiggla@squarespace.com,1,2.72,5.50,8.23,4,5
768,Susi,McGinly,smcginlylb@soundcloud.com,1,8.51,1.48,,2,7
769,Louis,Trafford,ltraffordlc@wsj.com,2,3.33,3.55,7.56,3,12
770,Lona,Torrie,ltorrield@dell.com,1,2.57,8.70,7.46,1,15
771,Eldon,Whyffen,ewhyffenle@delicious.com,2,6.73,4.34,3.68,4,12
772,Ramsey,Branton,rbrantonlf@mtv.com,2,7.89,01.04,3.15,4,18
773,Haleigh,Frigot,hfrigotlg@intel.com,1,9.70,5.52,5.65,3,1
774,Rubia,Brahmer,rbrahmerlh@narod.ru,8,4.32,9.96,3.58,5,2
775,Dian,Confort,dconfortli@edublogs.org,7,7.55,8.92,7.92,5,10
776,Muffin,Dorracott,mdorracottlj@google.com.br,2,1.48,09.03,2.78,1,11
777,Ulberto,Eisikowitch,ueisikowitchlk@soundcloud.com,2,2.51,1.54,4.89,5,4
778,Frank,Plunkett,fplunkettll@merriam-webster.com,2,9.46,8.16,7.16,4,12
779,Alexei,Ullock,aullocklm@hao123.com,2,4.74,2.81,3.77,3,1
780,Jerrine,Critcher,jcritcherln@ning.com,1,08.06,03.02,9.97,5,4
781,Sharl,Abbay,sabbaylo@tripadvisor.com,8,4.10,6.92,5.18,3,2
782,Dniren,Rosenwasser,drosenwasserlp@yale.edu,5,5.93,02.02,6.33,1,18
783,Daisie,Eyden,deydenlq@amazon.de,1,1.89,9.73,09.03,1,5
784,Shandeigh,Bignall,sbignalllr@ftc.gov,1,1.18,5.10,9.22,1,17
785,Lyndel,Marty,lmartyls@npr.org,1,4.24,6.46,,2,20
786,Collen,Markovich,cmarkovichlt@nps.gov,1,7.11,8.61,9.42,2,13
787,Carine,Delve,cdelvelu@elpais.com,1,6.84,2.87,3.29,1,18
788,Ham,Wong,hwonglv@soup.io,2,08.03,3.15,1.34,2,13
789,Kaja,Espadate,kespadatelw@baidu.com,1,3.70,6.86,7.35,5,14
790,Keely,Sorbey,ksorbeylx@nbcnews.com,1,1.22,1.60,3.36,3,10
791,Walt,Holdin,wholdinly@gizmodo.com,2,4.87,8.53,3.37,4,2
792,Hernando,Ransome,hransomelz@state.tx.us,2,1.54,2.60,,4,6
793,Felice,Culshew,fculshewm0@craigslist.org,1,3.70,5.79,,4,12
794,Brittaney,Sawdy,bsawdym1@ucoz.com,1,7.44,03.01,5.71,3,19
795,Elysee,Ricca,ericcam2@stumbleupon.com,1,6.14,6.60,,3,14
796,Christiano,McParlin,cmcparlinm3@indiegogo.com,2,8.81,5.51,9.90,3,9
797,Nevins,Daice,ndaicem4@aol.com,2,3.14,3.21,5.36,1,8
798,Tamas,Longmore,tlongmorem5@nps.gov,6,9.84,4.46,3.86,4,18
799,Kalie,Eslemont,keslemontm6@un.org,1,1.53,5.16,,4,5
800,Filippo,Teece,fteecem7@upenn.edu,3,1.21,7.71,,1,19
801,Rebbecca,Silcocks,rsilcocksm8@va.gov,5,9.57,7.31,3.99,2,20
802,Lorinda,Pinnegar,lpinnegarm9@phoca.cz,1,2.57,4.70,,4,17
803,Bernarr,Childes,bchildesma@about.com,2,3.62,3.81,5.27,5,4
804,Currie,Blind,cblindmb@gravatar.com,2,5.79,5.32,9.99,5,11
805,Jermaine,Swinglehurst,jswinglehurstmc@bloglines.com,1,04.07,9.97,2.14,4,9
806,Chip,Mussen,cmussenmd@sciencedaily.com,2,1.67,02.03,2.79,4,20
807,Glen,Denton,gdentonme@hugedomains.com,2,1.49,7.17,1.44,1,12
808,Kristan,Toxell,ktoxellmf@hhs.gov,1,4.38,01.04,3.69,1,17
809,Winslow,Harget,whargetmg@printfriendly.com,2,4.73,08.06,7.12,2,8
810,Norbie,Scraggs,nscraggsmh@cdbaby.com,2,5.56,5.79,6.18,3,11
811,Nannette,Waby,nwabymi@blogspot.com,1,3.40,4.26,2.89,2,3
812,Reynolds,Ianizzi,rianizzimj@themeforest.net,2,4.71,05.02,,3,20
813,Blair,Chaundy,bchaundymk@ox.ac.uk,1,3.90,7.10,8.38,1,9
814,Bennie,Simmig,bsimmigml@quantcast.com,1,5.54,7.31,9.23,5,7
815,Sibley,Collington,scollingtonmm@hatena.ne.jp,1,3.17,6.12,2.12,4,6
816,Odette,Snelson,osnelsonmn@marriott.com,1,4.69,5.96,,4,10
817,Salmon,Serck,sserckmo@umich.edu,2,2.65,6.89,3.14,4,9
818,Millicent,Stummeyer,mstummeyermp@disqus.com,1,7.52,5.60,8.87,2,13
819,Francis,Moynihan,fmoynihanmq@weebly.com,2,9.61,6.89,,5,2
820,Ezmeralda,Cowing,ecowingmr@scientificamerican.com,1,6.11,1.70,08.02,2,17
821,Lanni,Matzkaitis,lmatzkaitisms@kickstarter.com,1,1.85,6.46,8.55,4,6
822,Dulcie,Bigrigg,dbigriggmt@dion.ne.jp,1,6.36,2.62,02.02,4,13
823,Michale,Hillin,mhillinmu@google.com.au,2,2.65,2.62,3.40,3,15
824,Ruby,Bohl,rbohlmv@sciencedirect.com,2,4.76,1.44,9.48,5,15
825,Edna,Caskey,ecaskeymw@sina.com.cn,1,8.31,3.62,,3,8
826,Jozef,Addess,jaddessmx@buzzfeed.com,2,3.13,5.73,5.53,1,13
827,Madelaine,Sarre,msarremy@123-reg.co.uk,1,7.29,9.18,8.36,2,19
828,Griffie,Juden,gjudenmz@jiathis.com,6,7.47,8.65,5.22,4,11
829,Sadye,Rogans,srogansn0@nbcnews.com,1,7.17,3.54,,1,5
830,Moria,Lyburn,mlyburnn1@youtube.com,1,6.32,5.43,8.55,1,2
831,Legra,Cowton,lcowtonn2@123-reg.co.uk,1,8.82,8.45,2.50,4,8
832,Perren,Lusher,plushern3@cnn.com,5,2.46,7.13,,3,8
833,Jorry,Behling,jbehlingn4@addtoany.com,1,3.77,4.38,,1,13
834,Patsy,Stonehouse,pstonehousen5@seattletimes.com,2,8.47,4.26,06.03,4,13
835,Trevar,Gaine,tgainen6@opensource.org,2,06.03,6.91,2.16,3,10
836,Darda,Brownsword,dbrownswordn7@globo.com,1,7.87,3.85,,1,12
837,Say,Abate,sabaten8@wikispaces.com,2,7.83,4.71,08.01,5,6
838,Jarrad,Creavan,jcreavann9@omniture.com,2,3.27,3.53,,3,13
839,Juliane,Simister,jsimisterna@amazonaws.com,1,6.95,1.82,04.01,2,4
840,Oby,Scading,oscadingnb@boston.com,2,8.58,4.99,3.48,4,15
841,Anna-maria,Allbones,aallbonesnc@ft.com,1,05.06,9.67,3.37,1,5
842,Isaac,Manus,imanusnd@unc.edu,2,8.52,8.16,8.46,1,8
843,Elenore,Alkins,ealkinsne@va.gov,1,9.32,4.35,3.53,5,4
844,Durante,Toten,dtotennf@latimes.com,2,9.52,1.80,1.43,1,4
845,Deb,Sallans,dsallansng@newsvine.com,1,2.53,4.40,8.13,5,9
846,Bendite,Moylane,bmoylanenh@mysql.com,1,6.95,7.59,5.37,3,9
847,Barbe,Chritchley,bchritchleyni@dell.com,1,3.89,5.92,,2,6
848,Doti,Samworth,dsamworthnj@hp.com,1,2.98,5.87,1.52,3,20
849,Garland,Morigan,gmorigannk@wisc.edu,1,6.39,2.29,4.61,5,4
850,Thorin,Bugby,tbugbynl@constantcontact.com,5,5.17,6.16,1.52,4,9
851,Dosi,MacGaughie,dmacgaughienm@free.fr,4,5.81,9.79,,3,20
852,Aguste,De Gowe,adegowenn@youku.com,2,1.20,8.48,5.73,2,1
853,Oran,Orford,oorfordno@arstechnica.com,2,7.21,4.60,9.45,5,8
854,Drusy,Leppo,dlepponp@hugedomains.com,1,2.89,8.89,6.49,2,16
855,Cleo,Chuney,cchuneynq@vimeo.com,1,1.43,6.47,5.47,1,4
856,Ingrim,Stubbington,istubbingtonnr@cnbc.com,2,5.24,5.96,4.94,4,19
857,Christin,Whistlecroft,cwhistlecroftns@simplemachines.org,1,6.10,6.93,4.97,2,10
858,Nichole,Cecchi,ncecchint@apple.com,1,3.82,2.13,3.88,1,13
859,Ariel,Stallon,astallonnu@shop-pro.jp,2,4.80,6.49,07.01,3,15
860,Stevena,Saull,ssaullnv@printfriendly.com,1,6.47,4.66,09.03,2,12
861,Ado,Armistead,aarmisteadnw@gravatar.com,2,1.15,1.85,,5,17
862,Arabela,Cattanach,acattanachnx@huffingtonpost.com,1,1.13,2.27,1.10,2,10
863,Rafael,Vina,rvinany@360.cn,2,5.37,7.30,,3,12
864,Roanna,Eakeley,reakeleynz@example.com,1,4.57,8.51,9.54,4,5
865,Renato,Galpen,rgalpeno0@disqus.com,2,1.78,5.89,,3,6
866,Gav,Cloonan,gcloonano1@com.com,2,3.25,9.26,3.44,2,14
867,Fanchon,Eskrigg,feskriggo2@newyorker.com,1,8.32,9.90,4.16,5,5
868,Ruby,Bummfrey,rbummfreyo3@free.fr,2,4.61,3.36,5.35,3,7
869,Joella,Ewols,jewolso4@gmpg.org,1,8.70,7.61,01.08,4,2
870,Silvia,Tabbernor,stabbernoro5@infoseek.co.jp,1,3.35,4.42,,3,7
871,Johnathan,Emor,jemoro6@altervista.org,2,6.96,1.57,,5,19
872,Davidson,Cobb,dcobbo7@privacy.gov.au,2,4.71,09.01,4.24,2,14
873,Larina,Tunkin,ltunkino8@berkeley.edu,1,4.29,3.42,9.15,4,7
874,Selma,Matkovic,smatkovico9@reverbnation.com,1,6.48,5.33,3.88,5,14
875,Colver,Dionisii,cdionisiioa@washington.edu,2,5.89,8.66,,2,12
876,Dyane,Chaundy,dchaundyob@flickr.com,1,1.63,8.28,6.60,4,18
877,Charisse,Gornall,cgornalloc@indiatimes.com,1,5.88,1.25,,3,12
878,Silvie,Leheude,sleheudeod@arstechnica.com,1,9.75,2.19,5.11,1,9
879,Millard,Sime,msimeoe@jiathis.com,2,5.65,1.41,1.94,4,11
880,Syd,Forster,sforsterof@amazon.co.jp,2,4.77,2.87,6.99,3,3
881,Egbert,Torrent,etorrentog@narod.ru,2,6.45,6.57,5.53,2,8
882,Thurston,Albertson,talbertsonoh@apache.org,2,3.18,3.64,6.31,4,20
883,Dannel,Aldrick,daldrickoi@wp.com,2,3.52,2.64,8.17,5,11
884,Dannie,Kearey,dkeareyoj@ehow.com,2,5.41,7.18,6.55,1,3
885,Davita,Shillaker,dshillakerok@google.com.br,1,6.31,9.62,2.41,5,12
886,Carling,Ojeda,cojedaol@qq.com,2,2.67,1.47,3.59,1,16
887,Flossi,Alexander,falexanderom@discovery.com,1,6.35,5.58,7.30,5,9
888,Mycah,Remmer,mremmeron@noaa.gov,2,1.16,02.05,,5,17
889,Boot,Matskevich,bmatskevichoo@xinhuanet.com,2,2.47,1.16,,4,19
890,Duncan,Currom,dcurromop@jiathis.com,2,5.89,1.80,3.27,5,7
891,Hanson,Whitefoot,hwhitefootoq@phpbb.com,2,7.16,4.29,7.68,2,16
892,Fin,Champneys,fchampneysor@furl.net,2,4.44,2.12,06.08,1,3
893,Charmane,Sheards,csheardsos@youtube.com,1,8.38,2.76,,3,12
894,Lena,Haine,lhaineot@paginegialle.it,1,4.17,8.63,08.01,3,11
895,Austin,Philippou,aphilippouou@naver.com,1,6.62,6.40,3.41,2,13
896,Stu,Rasch,sraschov@hc360.com,2,5.23,01.01,3.46,5,6
897,Korey,Alekhov,kalekhovow@mediafire.com,2,5.31,02.09,6.18,2,15
898,Gelya,Ert,gertox@instagram.com,1,6.47,2.61,5.13,2,6
899,Joanie,Bowich,jbowichoy@slashdot.org,1,2.63,6.26,,3,6
900,Alano,Hance,ahanceoz@studiopress.com,2,7.00,4.77,,2,14
901,Symon,Lennard,slennardp0@epa.gov,2,4.12,9.13,6.81,4,5
902,Krisha,Seagrave,kseagravep1@mashable.com,2,1.76,5.91,5.33,1,1
903,Dana,Kalkhoven,dkalkhovenp2@accuweather.com,2,1.53,9.14,4.26,4,5
904,Kristen,Goard,kgoardp3@bloglines.com,1,2.96,2.17,7.19,3,20
905,Micky,Axton,maxtonp4@auda.org.au,6,3.34,1.54,7.34,5,5
906,Lara,Charter,lcharterp5@php.net,1,1.95,2.14,7.95,1,10
907,Haily,Limpenny,hlimpennyp6@reference.com,1,6.94,7.14,,4,11
908,Jay,Pote,jpotep7@xrea.com,2,2.74,8.74,,1,8
909,Jody,Alves,jalvesp8@imdb.com,4,8.10,7.74,8.70,3,12
910,Grissel,Vernazza,gvernazzap9@reference.com,1,6.62,1.17,4.98,5,13
911,Tildi,Kinman,tkinmanpa@prnewswire.com,1,7.40,7.50,5.56,2,12
912,Ulrica,Stanaway,ustanawaypb@fotki.com,1,1.77,5.24,1.86,3,5
913,Shawn,Dinkin,sdinkinpc@disqus.com,2,7.00,2.58,2.25,1,8
914,Brendin,Douglas,bdouglaspd@amazonaws.com,7,2.15,3.43,2.82,1,4
915,Aube,Middlemist,amiddlemistpe@ucoz.com,2,1.26,4.67,7.13,2,7
916,Rockie,Short,rshortpf@jalbum.net,2,9.55,02.05,,3,7
917,Mark,Senner,msennerpg@bing.com,2,1.59,8.47,09.04,1,15
918,Antoni,Cartmael,acartmaelph@mtv.com,2,07.03,9.77,4.88,3,2
919,Charisse,Woodlands,cwoodlandspi@tuttocitta.it,1,5.48,4.47,2.98,4,18
920,Pooh,Flagg,pflaggpj@unc.edu,1,1.64,6.13,5.48,4,4
921,Arlyne,Loughren,aloughrenpk@scientificamerican.com,1,2.83,9.57,7.24,5,9
922,Raychel,Bullough,rbulloughpl@umich.edu,1,5.80,5.67,,1,15
923,Haily,Glasman,hglasmanpm@foxnews.com,1,3.35,3.78,6.84,1,10
924,Shalna,Yurin,syurinpn@hc360.com,1,1.20,7.36,3.31,5,11
925,Pattin,Sillitoe,psillitoepo@wired.com,3,1.57,6.14,,2,6
926,Stephie,Troop,strooppp@vimeo.com,4,3.80,7.75,05.03,1,18
927,Laureen,Cona,lconapq@studiopress.com,1,8.86,9.56,8.88,3,1
928,Bird,Bonefant,bbonefantpr@time.com,1,3.77,2.40,,5,11
929,Eveleen,Dadson,edadsonps@webeden.co.uk,1,2.29,2.32,1.73,2,1
930,Gardy,Santer,gsanterpt@mozilla.com,2,6.70,3.94,8.72,1,12
931,Noell,Ginner,nginnerpu@hc360.com,1,3.17,2.70,6.21,2,15
932,Chad,Gillan,cgillanpv@goodreads.com,1,3.42,5.56,2.26,2,15
933,Erastus,Jeannon,ejeannonpw@xinhuanet.com,2,1.43,7.46,6.54,3,5
934,Evanne,Cavie,ecaviepx@shareasale.com,1,7.89,2.45,05.05,4,20
935,Clemente,Hardin,chardinpy@europa.eu,2,4.85,3.33,1.85,2,4
936,Harwilll,Valentine,hvalentinepz@tiny.cc,2,6.24,5.99,5.74,4,3
937,Chickie,Howkins,chowkinsq0@imageshack.us,2,2.28,3.55,1.45,2,12
938,Page,Shortland,pshortlandq1@amazon.de,1,06.07,2.87,6.61,2,11
939,Alf,Trenaman,atrenamanq2@newsvine.com,2,2.57,5.48,6.77,2,12
940,Barbabas,Busfield,bbusfieldq3@redcross.org,2,1.74,8.19,7.43,5,20
941,Ernest,Blum,eblumq4@statcounter.com,2,1.46,4.66,,3,9
942,Sidonia,Keane,skeaneq5@tmall.com,3,3.71,7.37,8.77,4,10
943,Muire,Regnard,mregnardq6@umich.edu,7,1.96,1.74,7.64,5,8
944,Eirena,Willimont,ewillimontq7@printfriendly.com,1,6.31,8.13,9.74,4,8
945,Micheal,Burress,mburressq8@twitter.com,2,09.04,2.44,3.45,2,1
946,Annecorinne,Grube,agrubeq9@free.fr,1,9.65,5.84,3.85,3,1
947,Jaine,Nunns,jnunnsqa@mail.ru,1,5.87,4.00,3.96,1,9
948,Wallis,Fear,wfearqb@tinyurl.com,1,1.53,3.14,7.51,1,2
949,Gilberta,Jewess,gjewessqc@apple.com,1,1.49,7.94,9.59,4,17
950,Liesa,Ivankov,livankovqd@people.com.cn,1,1.00,1.65,,3,20
951,Moreen,Cazalet,mcazaletqe@xrea.com,1,1.91,02.09,,1,14
952,Zachariah,Trounson,ztrounsonqf@geocities.com,2,4.52,4.79,9.46,1,7
953,Evanne,Castelletto,ecastellettoqg@who.int,1,07.07,3.98,4.71,1,12
954,Jarrett,Fludder,jfludderqh@huffingtonpost.com,2,8.81,7.96,6.40,3,19
955,Jada,Chazelle,jchazelleqi@fc2.com,1,1.24,3.00,9.16,3,2
956,Maxine,McCrea,mmccreaqj@yelp.com,1,5.33,3.33,5.36,4,7
957,Kimble,Marcus,kmarcusqk@ted.com,2,3.57,1.19,3.17,2,12
958,Sherwynd,Brecknall,sbrecknallql@dot.gov,2,10.00,1.22,2.63,5,3
